_id,earthquake_id,event_time,evt_dep,evt_lat,evt_lon,evt_mag,stations,network
6069ea0c34a3110fe6f18087,GT10070,2014-04-08T19:06:18.950000Z,7.5,35.651,-118.4456,3.1,"[""ADO"",""ARV"",""BAK"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IKP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VES""]",CI
6069ea0c34a3110fe6f18088,GT10332,2010-12-01T20:53:10.310000Z,6.2,35.9442,-117.6581,3.3,"[""ADO"",""ARV"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IBP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18089,GT10937,2003-11-13T05:17:57.300000Z,12.4,33.35,-116.419,3.2,"[""BAK"",""BAR"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f1808a,GT10320,2011-02-01T00:10:38.000000Z,3,33.565,-118.315,3.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IBP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VTV""]",CI
6069ea0c34a3110fe6f1808b,GT10346,2010-09-12T22:44:53.360000Z,4,34.73,-116.773,3.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""DEC"",""DGR"",""EDW2"",""FMP"",""GSC"",""HEC"",""IBP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1808c,GT11336,2000-03-28T15:22:11.660000Z,3,35.911,-117.838,3.2,"[""BAK"",""BAR"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SVD"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f1808d,GT11332,2000-04-01T11:10:11.660000Z,4.9,34.829,-116.4,3.2,"[""BAK"",""BAR"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f1808e,GT10748,2006-03-24T05:54:13.000000Z,9.4,33.787,-116.178,3.6,"[""ADO"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""JCS"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""RRX"",""RSS"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1808f,GT10124,2013-09-22T13:10:09.570000Z,14.4,33.449,-116.586,3.3,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IKP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18090,GT10495,2009-04-09T20:23:07.890000Z,3.8,33.25,-116.434,3,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18091,GT11325,2000-04-09T06:52:03.840000Z,14.5,34.118,-117.471,3.6,"[""BAK"",""BAR"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SVD"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f18092,GT10914,2004-02-20T10:56:24.330000Z,17.6,35.095,-119.108,3,"[""ADO"",""BAK"",""BAR"",""BBR"",""BCC"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW"",""FMP"",""GSC"",""HEC"",""ISA"",""JCS"",""LGU"",""LRL"",""MPP"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VES"",""VTV"",""WER""]",CI
